,veh,puma,np,serialno,fincp,wgtp
193,5,00106,04,1248268,000339100,00045
194,1,00106,04,1248841,000045000,00060
195,1,00106,04,1250797,000120000,00108
196,2,00106,02,1251570,000021100,00058
197,1,00106,02,1252851,000064000,00044
198,1,00106,01,1259034,,00068
199,2,00106,02,1259229,000098000,00046
200,1,00106,01,125993,,00193
201,3,00106,03,1260768,000070050,00065
202,2,00106,02,126108,000105000,00056
203,1,00106,01,1261692,,00059
204,2,00106,02,1262384,000108700,00049
205,2,00106,02,1266279,000020840,00040
206,1,00106,02,1266856,000104000,00103
207,4,00106,02,1266886,,00062
208,2,00106,04,1268590,000088200,00104
209,3,00106,02,1268872,,00065
210,2,00106,07,1272525,000201010,00228
211,4,00106,03,1272688,000101700,00051
212,3,00106,02,1280026,000154800,00070
213,,00106,01,1280649,,00000
214,3,00106,02,1282114,000120000,00077
215,1,00106,01,1282170,,00030
216,1,00106,01,1288687,,00084
217,2,00106,03,1291112,000270000,00042
218,,00106,01,1292769,,00000
219,1,00106,01,12930,,00142
220,1,00106,01,129319,,00154
221,0,00106,01,1296193,,00096
222,3,00106,02,1297646,000013500,00057
223,0,00106,05,1298657,000070000,00077
224,,00106,01,1300282,,00000
225,2,00106,03,1301243,000078800,00256
226,2,00106,02,1302088,000057094,00060
227,0,00106,01,1302972,,00098
228,2,00106,02,1303762,000042950,00055
229,1,00106,01,1304035,,00135
230,0,00106,02,1304047,000045100,00113
231,1,00106,01,1307429,,00185
232,0,00106,01,130805,,00056
233,,00106,00,1311703,,00144
234,1,00106,02,1313316,000020400,00071
235,2,00106,02,1316121,000071800,00069
236,2,00106,02,1316167,000062900,00052
237,2,00106,03,13176,000168000,00200
238,2,00106,02,1318894,000151000,00070
239,1,00106,02,1319277,000027000,00074
240,3,00106,01,1320049,,00050
241,1,00106,01,1321389,,00057
242,2,00106,02,1321591,000038500,00063
243,2,00106,02,1323106,000094300,00176
244,3,00106,05,1323297,000038000,00212
245,1,00106,02,1325139,000045750,00117
246,1,00106,01,1327870,,00177
247,3,00106,01,1329706,,00045
248,,00106,01,133259,,00000
249,1,00106,01,1334379,,00114
250,2,00106,02,1339280,000246000,00125
251,,00106,01,1339293,,00000
252,2,00106,04,1341435,000116000,00114
253,2,00106,02,1341661,000093000,00092
254,2,00106,07,1343481,000080000,00078
255,1,00106,01,1344785,,00175
256,1,00106,01,1345158,,00036
257,5,00106,06,1345783,000118600,00193
258,2,00106,02,1346982,000190000,00073
259,1,00106,02,1348192,000069600,00106
260,2,00106,02,1348238,000052000,00071
261,1,00106,01,1348313,,00078
262,,00106,00,1348734,,00174
263,1,00106,01,1348946,,00063
264,1,00106,02,1349041,000015000,00205
265,3,00106,03,1349517,000120000,00184
266,2,00106,03,1352447,000055300,00083
267,3,00106,02,1355322,000143000,00109
268,3,00106,03,1356325,000054530,00058
269,2,00106,02,135870,000320000,00037
270,1,00106,01,1367815,,00217
271,3,00106,02,1371773,000075000,00084
272,1,00106,01,1372767,,00048
273,3,00106,03,1373566,000125000,00089
274,1,00106,01,137397,,00082
275,3,00106,04,1374721,000182000,00049
276,2,00106,01,1376811,,00052
277,2,00106,02,137777,000161000,00102
278,,00106,01,1378631,,00000
279,2,00106,01,1379040,,00050
280,2,00106,03,138091,000034900,00160
281,2,00106,02,1382443,,00062
282,1,00106,02,1383023,000009400,00134
283,4,00106,03,1383877,000111200,00064
284,2,00106,02,1386209,000047700,00082
285,1,00106,01,1386882,,00095
286,1,00106,02,1387875,000025900,00063
287,1,00106,01,1388739,,00043
288,3,00106,02,1389706,,00077
289,3,00106,03,1391857,000071000,00079
290,1,00106,01,139262,,00063
291,2,00106,02,1393851,000058000,00051
292,2,00106,02,139857,000100000,00177
293,4,00106,06,1398775,000051350,00058
294,2,00106,05,1405330,000185000,00076
295,1,00106,02,1406201,000090000,00058
296,,00106,01,1406652,,00000
297,1,00106,02,1410530,,00094
298,4,00106,04,1411494,000220000,00080
299,2,00106,02,1412443,000050000,00082
300,1,00106,02,1414214,000043500,00119
301,3,00106,02,1414466,000196100,00045
302,1,00106,02,1420502,000017800,00051
303,2,00106,03,1422877,000145500,00043
304,1,00106,01,1424129,,00070
305,1,00106,01,142500,,00059
306,1,00106,01,1426929,,00330
307,3,00106,04,1427173,000225000,00094
308,1,00106,07,1428434,000010600,00086
309,,00106,00,1431456,,00275
310,2,00106,02,1433947,000093200,00063
