,veh,puma,np,serialno,fincp,wgtp
773,1,00106,04,636690,000023000,00060
774,1,00106,03,638306,000015900,00083
775,4,00106,04,638656,000114310,00075
776,1,00106,01,639313,,00309
777,2,00106,04,639602,000066700,00096
778,2,00106,01,641388,,00060
779,1,00106,02,642645,000025200,00087
780,3,00106,02,643736,000120200,00032
781,1,00106,02,644219,000048000,00153
782,1,00106,01,645146,,00113
783,1,00106,02,646554,000041000,00160
784,2,00106,02,647106,000139800,00105
785,2,00106,02,648646,000146000,00261
786,,00106,01,651495,,00000
787,,00106,00,652724,,00293
788,2,00106,05,652795,000072700,00058
789,1,00106,03,653576,000080000,00095
790,1,00106,02,654234,,00081
791,0,00106,02,654247,000054600,00170
792,5,00106,04,654999,000031700,00056
793,1,00106,02,656300,000053000,00174
794,3,00106,05,657153,000069600,00420
795,3,00106,04,658372,000094500,00138
796,,00106,01,658561,,00000
797,1,00106,01,659908,,00132
798,1,00106,04,662156,000099000,00105
799,1,00106,01,662276,,00190
800,3,00106,02,664429,,00055
801,1,00106,05,666261,000058000,00083
802,1,00106,02,667766,000024000,00074
803,2,00106,02,669133,,00096
804,2,00106,01,670175,,00068
805,3,00106,03,671190,000147060,00100
806,1,00106,01,672084,,00117
807,1,00106,01,672653,,00056
808,1,00106,01,675338,,00062
809,1,00106,01,676952,,00065
810,2,00106,03,677013,000042800,00052
811,3,00106,04,678363,000086400,00139
812,,00106,01,68104,,00000
813,2,00106,02,681622,000026000,00055
814,0,00106,06,68228,,00071
815,3,00106,03,682337,000107700,00077
816,0,00106,01,68303,,00070
817,2,00106,04,685749,000094000,00112
818,2,00106,01,687057,,00213
819,1,00106,02,687171,000022200,00070
820,2,00106,05,687700,000124000,00079
821,1,00106,01,688419,,00035
822,2,00106,01,690626,,00069
823,,00106,01,692065,,00000
824,,00106,01,693916,,00000
825,3,00106,04,696158,000026200,00102
826,2,00106,02,697076,000030300,00056
827,1,00106,01,697446,,00034
828,,00106,01,698894,,00000
829,1,00106,02,709706,000078400,00042
830,1,00106,03,711660,000013100,00065
831,2,00106,02,713262,000150000,00072
832,1,00106,01,716546,,00043
833,1,00106,02,716727,000110000,00182
834,2,00106,02,71804,000095800,00084
835,2,00106,05,719211,000034510,00125
836,,00106,01,721991,,00000
837,3,00106,03,723236,000095000,00118
838,2,00106,01,723423,,00053
839,2,00106,03,725198,000136400,00114
840,2,00106,04,725588,000124500,00069
841,2,00106,03,727687,000028000,00100
842,,00106,01,727959,,00000
843,2,00106,04,728750,000014000,00105
844,3,00106,03,729112,000034600,00068
845,1,00106,01,731562,,00048
846,1,00106,01,731702,,00166
847,5,00106,07,73471,000090000,00055
848,2,00106,02,737318,,00180
849,3,00106,04,739359,000130000,00056
850,0,00106,01,741194,,00075
851,0,00106,01,741349,,00202
852,0,00106,03,74303,000020900,00083
853,3,00106,02,747997,000141000,00059
854,1,00106,01,748482,,00102
855,2,00106,01,749221,,00074
856,3,00106,02,749275,000047600,00076
857,2,00106,04,750178,000067800,00189
858,2,00106,03,751237,000090000,00082
859,,00106,00,752903,,00330
860,,00106,00,756390,,00132
861,1,00106,01,757871,,00060
862,0,00106,01,757979,,00296
863,1,00106,01,760579,,00061
864,,00106,00,760894,,00179
865,2,00106,03,766815,,00078
866,2,00106,01,767368,,00098
867,0,00106,01,767394,,00050
868,1,00106,01,769654,,00106
869,2,00106,04,770688,000094000,00314
870,1,00106,01,771095,,00066
871,0,00106,04,772141,000044200,00065
872,3,00106,01,773187,,00059
873,2,00106,02,773846,000160000,00350
874,1,00106,02,775829,000023000,00109
875,2,00106,02,778895,000062120,00073
876,2,00106,02,779128,000331200,00065
877,5,00106,04,783650,,00104
878,,00106,00,784754,,00150
879,2,00106,02,786510,000082500,00071
880,3,00106,03,793045,000126000,00031
881,2,00106,02,794395,,00146
882,3,00106,02,795215,000054000,00048
883,2,00106,02,797264,000082500,00256
884,1,00106,02,797856,000197900,00066
885,2,00106,02,797895,000090000,00077
886,2,00106,05,797906,000211400,00139
887,1,00106,01,799220,,00298
888,1,00106,01,799362,,00118
889,2,00106,03,800316,,00046
890,2,00106,02,800644,,00083
891,2,00106,05,801692,000101500,00203
892,2,00106,03,803784,000067600,00061
893,2,00106,05,806054,000090000,00211
894,,00106,00,807885,,00221
895,3,00106,02,809321,000118500,00262
896,2,00106,02,81320,,00058
897,,00106,01,815243,,00000
898,0,00106,01,816315,,00083
899,,00106,01,816401,,00000
900,2,00106,04,818026,000135000,00090
901,,00106,01,818118,,00000
902,3,00106,03,823932,000088700,00080
903,4,00106,04,824760,000103500,00072
904,1,00106,02,825997,000076100,00065
905,3,00106,03,826123,000190000,00065
906,2,00106,02,826873,000231910,00064
907,1,00106,02,831615,000007400,00309
908,0,00106,07,832005,000246100,00141
909,1,00106,04,832501,000040000,00062
910,6,00106,07,832679,000163400,00172
911,0,00106,02,833322,000013000,00062
912,0,00106,01,834121,,00055
913,,00106,00,834141,,00037
914,2,00106,02,835093,000046000,00066
915,1,00106,01,835595,,00101
916,1,00106,01,839192,,00051
917,,00106,01,839793,,00000
918,2,00106,01,839969,,00038
919,,00106,01,840569,,00000
920,2,00106,01,841587,,00049
921,2,00106,03,843055,,00060
922,,00106,01,84478,,00000
923,2,00106,03,844930,000255000,00148
924,3,00106,03,845778,000154700,00063
925,2,00106,04,846699,000074000,00073
926,1,00106,01,850707,,00067
927,3,00106,02,850909,000035800,00107
928,0,00106,02,851005,000010000,00110
929,2,00106,02,851983,000121700,00034
930,2,00106,02,85366,000130000,00039
931,2,00106,03,854528,000100000,00039
932,2,00106,05,855413,000145000,00077
933,2,00106,02,855668,000019800,00138
934,1,00106,03,857536,000022400,00064
935,1,00106,01,85991,,00049
936,3,00106,04,865354,000059500,00064
937,1,00106,01,865932,,00088
938,3,00106,04,867353,000032000,00054
939,2,00106,03,869156,000210000,00035
940,1,00106,02,873284,000030000,00141
941,1,00106,01,873667,,00122
942,4,00106,04,876931,000174000,00118
943,,00106,01,877643,,00000
944,1,00106,02,878203,000037400,00050
945,3,00106,04,880664,000058000,00265
946,2,00106,02,882908,000060000,00066
947,1,00106,01,883072,,00113
948,2,00106,01,88364,,00051
949,,00106,01,886481,,00000
950,2,00106,02,887710,000411000,00064
951,1,00106,01,888728,,00091
952,2,00106,01,889854,,00048
953,2,00106,02,893302,000062700,00334
954,1,00106,01,893720,,00050
955,,00106,01,897732,,00000
956,2,00106,05,898192,000075000,00189
957,1,00106,01,898751,,00068
958,1,00106,01,899268,,00089
959,2,00106,07,901365,000054000,00119
960,5,00106,05,901981,000075000,00041
961,2,00106,02,902035,000215700,00068
962,,00106,01,902856,,00000
963,1,00106,02,903103,000023600,00102
964,,00106,00,90326,,00039
965,2,00106,02,903621,000104100,00105
966,6,00106,05,903645,000102000,00046
967,2,00106,02,904946,000092100,00090
968,,00106,01,908045,,00000
969,1,00106,02,909589,000113600,00101
970,1,00106,01,909828,,00080
971,2,00106,05,912307,000079000,00210
972,4,00106,04,915336,000210000,00072
973,3,00106,05,919479,000082100,00182
974,1,00106,01,920056,,00037
975,2,00106,02,920789,000024000,00059
976,1,00106,01,921150,,00029
977,2,00106,02,92538,000058410,00070
978,1,00106,01,926556,,00056
979,2,00106,05,92739,000045200,00170
980,,00106,01,927556,,00000
981,2,00106,03,927771,000118600,00068
982,2,00106,02,929367,000024800,00193
983,6,00106,04,933244,000100000,00082
984,3,00106,05,933804,000185000,00224
985,5,00106,07,935061,000137200,00249
986,2,00106,04,935102,000026600,00087
987,2,00106,02,93616,000140000,00072
988,2,00106,02,94126,000093850,00075
989,,00106,00,941736,,00150
990,2,00106,03,944149,000114000,00137
991,2,00106,03,94746,000129030,00077
992,1,00106,04,948011,000024300,00292
993,2,00106,02,949353,000027000,00060
994,3,00106,03,949407,000063000,00078
995,2,00106,02,952379,000031500,00078
996,0,00106,09,953316,000004700,00062
997,2,00106,03,95359,000200000,00049
998,4,00106,02,954224,000068500,00062
999,4,00106,03,958190,000302000,00071
1000,3,00106,02,961886,000120000,00082
1001,1,00106,02,962005,000065000,00319
1002,2,00106,03,962638,000075000,00059
1003,2,00106,02,962934,,00075
1004,,00106,01,963107,,00000
1005,3,00106,04,966969,000077000,00067
1006,6,00106,07,967592,000095000,00069
1007,2,00106,02,968573,000078000,00065
1008,2,00106,04,969673,000085000,00069
1009,,00106,01,970767,,00000
1010,0,00106,03,971158,000019200,00110
1011,1,00106,02,971297,000065000,00113
1012,1,00106,01,975167,,00060
1013,1,00106,07,980956,000115600,00041
1014,2,00106,02,983488,000155000,00107
1015,2,00106,03,984734,000044600,00057
1016,2,00106,02,984933,,00066
1017,3,00106,04,986303,000109000,00059
1018,1,00106,02,98747,000027000,00109
1019,1,00106,01,988929,,00097
1020,1,00106,01,989586,,00048
1021,1,00106,03,989785,000037200,00139
1022,2,00106,03,990378,000054000,00099
1023,2,00106,03,990638,000132420,00113
1024,2,00106,01,990668,,00048
1025,,00106,01,992829,,00000
1026,1,00106,01,993056,,00096
1027,2,00106,02,997659,000042900,00110
1028,2,00106,04,99855,000133300,00087
1029,4,00106,05,999031,000060000,00053
1030,2,00106,05,999093,000049000,00205
1031,3,00106,02,999443,000330000,00106
